TXT DosyaNo;esasNo;kararNo
000001;2020-1593;2022-589
000002;2022-1625;2022-2362
000003;2021-2199;2022-2363
000004;2019-5896;2022-2301
000005;2019-5895;2022-2302
000006;2020-2386;2022-2325
000007;2020-1142;2022-2355
000008;2020-1332;2022-2317
000009;2020-3037;2022-2322
000010;2018-3282;2022-2255
000011;2018-2801;2022-2252
000012;2018-3281;2022-2254
000013;2018-3280;2022-2253
000014;2018-3280;2022-2253
000015;2021-1073;2022-2860
000016;2021-1105;2022-2862
000017;2021-1082;2022-2861
000018;2021-2189;2022-2863
000019;2020-2034;2022-2152
000020;2022-2961;2022-5233
000021;2019-6525;2022-2155
000022;2022-5782;2022-2859
000023;2019-1108;2022-2145
000024;2021-2988;2022-2141
000025;2019-3377;2022-2153
000026;2021-2306;2022-2864
000027;2021-373;2022-2167
000028;2021-374;2022-2166
000029;2018-4124;2022-2932
000030;2022-5458;2022-2796
000031;2019-370;2022-2933
000032;2020-3499;2022-2931
000033;2020-3415;2022-2928
000034;2020-3407;2022-2927
000035;2020-3442;2022-2930
000036;2021-5486;2022-5217
000037;2021-1037;2022-2779
000038;2021-1038;2022-2780
000039;2020-3401;2022-2926
000040;2020-3367;2022-2925
000041;2022-108;2022-2117
000042;2021-3713;2022-2116
000043;2021-896;2022-2772
000044;2021-881;2022-2771
000045;2021-3848;2022-2114
000046;2022-2644;2022-3183
000047;2020-3441;2022-2929
000048;2019-409;2022-2935
000049;2019-407;2022-2934
000050;2022-2970;2022-2969
000051;2020-4453;2022-2936
000052;2022-3039;2022-2968
000053;2022-317;2022-2115
000054;2021-4041;2022-2118
000055;2019-2528;2022-2939
000056;2018-7027;2022-2940
000057;2020-4455;2022-2937
000058;2020-4472;2022-2938
000059;2020-1841;2022-2119
000060;2021-1058;2022-2725
000061;2021-8182;2022-2731
000062;2021-2005;2022-2728
000063;2021-2112;2022-2729
000064;2021-1969;2022-2726
000065;2021-685;2022-2710
000066;2021-811;2022-2712
000067;2021-807;2022-2702
000068;2021-707;2022-2694
000069;2021-677;2022-2701
000070;2022-6019;2022-2690
000071;2021-1998;2022-2727
000072;2021-8503;2022-2742
000073;2021-8464;2022-2741
000074;2021-8350;2022-2738
000075;2021-8220;2022-2732
000076;2022-5410;2022-2687
000077;2022-5516;2022-2689
000078;2022-5506;2022-2688
000079;2021-8245;2022-2733
000080;2021-746;2022-2704
000081;2021-8346;2022-2736
000082;2021-8247;2022-2734
000083;2021-8348;2022-2737
000084;2021-8339;2022-2735
000085;2021-8361;2022-2739
000086;2021-711;2022-2721
000087;2021-737;2022-2719
000088;2021-726;2022-2720
000089;2021-8468;2022-2724
000090;2021-768;2022-2714
000091;2021-8461;2022-2740
000092;2021-893;2022-2056
000093;2021-892;2022-2057
000094;2021-684;2022-2713
000095;2021-550;2022-2703
000096;2021-8529;2022-2743
000097;2022-4764;2022-2722
000098;2019-2183;2022-2078
000099;2019-6035;2022-2077
000100;2019-5982;2022-2083
000101;2019-5983;2022-2085
000102;2021-721;2022-2696
000103;2021-720;2022-2706
000104;2021-714;2022-2700
000105;2021-708;2022-2715
000106;2021-709;2022-2716
000107;2019-4671;2022-2084
000108;2022-4882;2022-2723
000109;2021-791;2022-2699
000110;2021-724;2022-2698
000111;2021-755;2022-2697
000112;2019-5981;2022-2086
000113;2019-760;2022-1643
000114;2020-605;2022-1645
000115;2020-1938;2022-2010
000116;2019-4499;2022-2029
000117;2020-689;2022-2008
000118;2019-5990;2022-2046
000119;2019-5991;2022-2045
000120;2022-688;2022-2326
000121;2019-7116;2022-2031
000122;2019-5989;2022-2047
000123;2020-2032;2022-2009
000124;2019-6439;2022-2043
000125;2020-2211;2022-1976
000126;2019-16157;2022-5140
000127;2022-166;2022-5138
000128;2020-10848;2022-5135
000129;2021-1400;2022-1969
000130;2022-1790;2022-2917
000131;2019-3380;2022-1981
000132;2019-5422;2022-2007
000133;2021-5099;2022-2666
000134;2020-2296;2022-1998
000135;2021-2355;2022-1990
000136;2021-5045;2022-2679
000137;2019-2868;2022-2000
000138;2021-1093;2022-2668
000139;2021-1065;2022-2667
000140;2022-2962;2022-2596
000141;2022-5781;2022-2595
000142;2022-2500;2022-5129
000143;2019-12160;2022-5016
000144;2022-2454;2022-5056
000145;2022-1883;2022-4982
000146;2021-6623;2022-2425
000147;2022-539;2022-4991
000148;2021-2909;2022-2526
000149;2021-1716;2022-2459
000150;2021-2786;2022-2523
000151;2021-3020;2022-2528
000152;2021-2957;2022-2524
000153;2021-2947;2022-2525
000154;2021-1923;2022-2461
000155;2021-1922;2022-2460
000156;2022-4053;2022-2504
000157;2021-3145;2022-2580
000158;2021-3014;2022-2558
000159;2021-17722;2022-1997
000160;2018-9192;2022-2713
000161;2021-3748;2022-2521
000162;2021-3715;2022-2520
000163;2021-2371;2022-1994
000164;2021-3174;2022-2547
000165;2021-3745;2022-2512
000166;2021-3761;2022-2513
000167;2021-1715;2022-2417
000168;2019-6430;2022-2854
000169;2021-2967;2022-2582
000170;2021-1872;2022-2484
000171;2021-9637;2022-2491
000172;2019-6094;2022-2704
000173;2019-6024;2022-2700
000174;2021-3867;2022-1937
000175;2021-3030;2022-2552
000176;2021-3869;2022-1936
000177;2021-2784;2022-2535
000178;2019-6051;2022-2702
000179;2019-6059;2022-2703
000180;2019-6050;2022-2701
000181;2021-3047;2022-2581
000182;2021-3198;2022-2575
000183;2019-6292;2022-2856
000184;2022-4243;2022-2508
000185;2021-3027;2022-2562
000186;2021-6640;2022-2427
000187;2021-3009;2022-2574
000188;2021-6624;2022-2424
000189;2021-2780;2022-2534
000190;2021-3151;2022-2530
000191;2021-1840;2022-2489
000192;2021-1835;2022-2487
000193;2021-1839;2022-2488
000194;2021-1834;2022-2485
000195;2021-3136;2022-2527
000196;2021-3130;2022-2536
000197;2021-2979;2022-2529
000198;2021-1925;2022-2483
000199;2021-1867;2022-2490
000200;2021-3156;2022-2531
000201;2019-5203;2022-1957
000202;2021-3146;2022-2549
000203;2021-3657;2022-2514
000204;2021-3661;2022-2516
000205;2021-3597;2022-2515
000206;2021-2916;2022-2559
000207;2021-2581;2022-2047
000208;2017-4398;2022-2007
000209;2021-3177;2022-2556
000210;2021-2908;2022-2550
000211;2021-2896;2022-2561
000212;2019-11840;2022-5022
000213;2021-2030;2022-1964
000214;2021-1454;2022-1965
000215;2021-6194;2022-5007
000216;2021-1453;2022-1963
000217;2017-2865;2022-2376
000218;2021-3034;2022-2578
000219;2021-2969;2022-2563
000220;2021-2970;2022-2564
000221;2020-4644;2022-1948
